No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
110;Telur Ayam;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
111;Telur Ayam;02/01/2019;Jawa Barat;Kota Depok;Pasar Agung;26250
112;Telur Ayam;02/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;27000
113;Telur Ayam;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;27000
114;Telur Ayam;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
115;Telur Ayam;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
116;Telur Ayam;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25000
117;Telur Ayam;02/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
118;Telur Ayam;02/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
119;Telur Ayam;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25500
120;Telur Ayam;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
121;Telur Ayam;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
122;Telur Ayam;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26500
123;Telur Ayam;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
124;Telur Ayam;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
125;Telur Ayam;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25250
126;Telur Ayam;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25000
127;Telur Ayam;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
128;Telur Ayam;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
129;Telur Ayam;03/01/2019;Jawa Barat;Kota Depok;Pasar Agung;26250
130;Telur Ayam;03/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
131;Telur Ayam;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;27000
132;Telur Ayam;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
133;Telur Ayam;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24750
134;Telur Ayam;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25000
135;Telur Ayam;03/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
136;Telur Ayam;03/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
137;Telur Ayam;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25000
138;Telur Ayam;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;26500
139;Telur Ayam;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
140;Telur Ayam;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26000
141;Telur Ayam;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
142;Telur Ayam;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26750
143;Telur Ayam;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25000
144;Telur Ayam;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24500
145;Telur Ayam;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
146;Telur Ayam;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
147;Telur Ayam;04/01/2019;Jawa Barat;Kota Depok;Pasar Agung;26250
148;Telur Ayam;04/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
149;Telur Ayam;04/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
150;Telur Ayam;04/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
151;Telur Ayam;04/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24000
152;Telur Ayam;04/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24750
153;Telur Ayam;04/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
154;Telur Ayam;04/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
155;Telur Ayam;04/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
156;Telur Ayam;04/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;26000
157;Telur Ayam;04/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
158;Telur Ayam;04/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26000
159;Telur Ayam;04/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
160;Telur Ayam;04/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;26750
161;Telur Ayam;04/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25000
162;Telur Ayam;04/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24500
163;Telur Ayam;07/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
164;Telur Ayam;07/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
165;Telur Ayam;07/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
166;Telur Ayam;07/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
167;Telur Ayam;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
168;Telur Ayam;07/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
169;Telur Ayam;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24000
170;Telur Ayam;07/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24500
171;Telur Ayam;07/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
172;Telur Ayam;07/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
173;Telur Ayam;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
174;Telur Ayam;07/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
175;Telur Ayam;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
176;Telur Ayam;07/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26000
177;Telur Ayam;07/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
