No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
10817;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;67500
10818;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;80000
10819;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;55000
10820;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;55000
10821;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10822;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;50000
10823;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;70000
10824;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10825;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;74000
10826;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;57500
10827;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;52500
10828;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;62500
10829;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;70000
10830;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10831;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;52500
10832;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;46500
10833;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10834;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10835;Cabai Rawit Merah;21/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;62500
